project_id,status,year_comp,area_ha,proj_name,proj_part,street_num,street_name,street_type,add_misc,suburb,detached,townhouses,apartments,unknown,att_1s,att_2_3s,att_4s,total_dwel,max_storeys,lga,region,file_year,x_id,identifier,w_id,group_id,isec_area_ha,flag,isec_pct,notes
R07879,Completed,2008,0.01,ABBOTSFORD STREET development,NA,187-201,Abbotsford,Street,NA,North Melbourne,0,NA,NA,0,0,17,0,17,NA,Melbourne,Inner,2008,549,187-201 abbotsford,450,15,0.008695585,discard,96.29198497,
R03228,Completed,2007,0.17,Former Engine House,NA,187-201,Abbotsford,Street,NA,North Melbourne,0,NA,NA,0,2,17,0,19,NA,Melbourne,Inner,2010,693,187-201 abbotsford,594,15,0.008695585,keep,5.013711777,"Google Earth checked; small site subset of larger; smaller too small to have specified number of dwellings; same address, so looks like same project"
R00547,Completed,2005,0.52,Watergate,None,NA,Bourke,Street,NA,Docklands,0,NA,NA,0,0,0,339,339,NA,Melbourne,Inner,2006,372,NA bourke,273,17,0.524564276,keep,99.96009049,
R07883,Completed,2008,0.78,BOURKE STREET development,NA,757,Bourke,Street,NA,Docklands,0,NA,NA,0,0,0,73,73,NA,Melbourne,Inner,2010,1059,757 bourke,960,17,0.524564276,keep,67.2961046,Google Earth checked; later development same overall site
R00855,Completed,2004,0.1,University City Apartments,None,399-401,Little Lonsdale,Street,NA,Melbourne,0,NA,NA,0,0,0,220,220,NA,Melbourne,Inner,2005,241,399-401 little lonsdale,142,19,0.103876792,discard,99.44521015,
R07919,Completed,2008,0.19,University City Apartments,NA,399-401,Little Lonsdale,Street,NA,Melbourne,0,NA,NA,214,0,0,0,214,NA,Melbourne,Inner,2010,1066,399-401 little lonsdale,967,19,0.103876792,keep,54.92931434,"Google Earth checked; same address, but 2008 site includes separate adjoining buildings"
R05307,Completed,2005,0.06,Stanley Street Units,None,61-63,Stanley,Street,NA,West Melbourne,0,NA,NA,13,0,0,0,13,NA,Melbourne,Inner,2005,336,61-63 stanley,237,23,0.055011752,discard,99.73278726,
R07968,Completed,2008,0.06,NA,NA,61-63,Stanely street,Road,NA,West Melbourne,0,NA,NA,13,0,0,0,13,NA,Melbourne,Inner,2010,1072,61-63 stanely street,973,23,0.055011752,keep,99.93907471,"Same address, misspelled in later file"
R07850,Completed,2008,0.1,MARKET STREET development,NA,54-60,Market,Street,NA,Melbourne,0,NA,NA,0,0,0,37,37,NA,Melbourne,Inner,2008,546,54-60 market,447,25,0.10209915,discard,99.51771016,
R00142,Completed,2009,0.1,Pacific International,NA,54-62,Market,Street,NA,Melbourne,0,NA,NA,0,0,0,354,354,NA,Melbourne,Inner,2011,1097,54-62 market,998,25,0.10209915,keep,99.92510318,"Same site, just minor address change; Google Earth checked and can't see obvious construction activity; looks like office redevelopment"
R0732,Completed,2004,1.55,Sovereign Point,None,31 - 47,Williamsons,Road,NA,DONCASTER,0,NA,NA,0,0,112,0,112,NA,Manningham,East,2004,25,31 - 47 williamsons,7,26,0.569545279,keep,36.73484243,
R07050,Completed,2009,0.87,Sovereign Point Apartments E & F,NA,31-47,Williamsons,Road,NA,Doncaster,0,NA,NA,0,0,16,0,16,NA,Manningham,East,2011,1400,31-47 williamsons,1301,26,0.569545279,keep,65.72362508,Imagery checked; projet name makes clear that they are separate stages
R03454,Completed,2005,0.13,NA,None,587,Dandenong,Road,NA,Armadale,0,NA,NA,0,0,21,0,21,NA,Stonnington,East,2006,403,587 dandenong,304,27,0.127973514,keep,99.97182553,
R07234,Completed,2008,0.13,Dandenong Road Apartments,NA,26,Valentine,Grove,NA,Armadale,0,NA,NA,0,0,21,0,21,NA,Stonnington,East,2011,1422,26 valentine,1323,27,0.127973514,discard,99.91808465,"Google Earth checked; same site, completed 2006, looks like later adding same project with side street address and not realising different"
R0833,Completed,2004,0.61,NA,None,Lot 2,Urquhart,Street,NA,COBURG,0,NA,NA,0,0,32,0,32,NA,Moreland,North,2004,132,Lot 2 urquhart,58,28,0.112447102,keep,18.26929689,
R07651,Completed,2009,0.11,Pentridge Boulevard Urquhart St Dwellings / Office,NA,Urquhart,Urquhart,Street,NA,Coburg,0,NA,NA,0,0,31,0,31,NA,Moreland,North,2011,1472,Urquhart urquhart,1373,28,0.112447102,keep,99.97908679,Google Earth checked; separate development same site
R03554,Completed,2004,0.16,Capitol Building,None,115,Swanston,Street,NA,Melbourne,0,NA,NA,61,0,0,0,61,NA,Melbourne,Inner,2005,316,115 swanston,217,29,0.155895864,discard,98.78579173,
R07875,Completed,2008,0.16,SPENCER STREET development,NA,109-117,Spencer,Street,NA,Melbourne,0,NA,NA,0,0,0,61,61,NA,Melbourne,Inner,2011,1486,109-117 spencer,1387,29,0.155895864,keep,97.74923031,Same site minor adress change
R03536,Completed,2004,0.29,Vue Apartments,None,235-275,Smithfield,Road,NA,Kensington,0,NA,NA,0,0,0,176,176,NA,Melbourne,Inner,2005,312,235-275 smithfield,213,30,0.285600453,discard,99.60659074,
R07884,Completed,2008,0.29,SMITHFIELD  STOC ROAD development,NA,235-275,Smithfield  Stoc,Road,NA,Kensington,0,NA,NA,0,0,0,40,40,NA,Melbourne,Inner,2011,1488,235-275 smithfield  stoc,1389,30,0.285600453,keep,99.29946126,"Same site; Google Earth checked; not convinced there are any dwellings there but if there are, 40 seems less unlikely"
R05276,Completed,2005,0.03,Lygon Street Student Accommodation,None,98-100,Lygon,Street,NA,Carlton,0,NA,NA,14,0,0,0,14,NA,Melbourne,Inner,2005,328,98-100 lygon,229,31,0.028213454,discard,99.69354118,
R07918,Completed,2008,0.32,NA,NA,98-100,Lygon,Street,NA,Carlton,0,NA,NA,16,0,0,0,16,NA,Melbourne,Inner,2011,1493,98-100 lygon,1394,31,0.028213454,keep,8.696103176,"Imagery checked; smaller site is portion of larger one, not big enough for specified number of dwellings"
R00267,Completed,2004,0.04,Avanti Apartments,None,117,Bouverie,Street,NA,Carlton,0,NA,NA,0,0,0,39,39,NA,Melbourne,Inner,2005,227,117 bouverie,128,32,0.040709395,discard,98.95293208,
R07928,Completed,2008,0.04,Avanti Apartments,NA,117-121,BOUVERIE,Street,NA,Carlton,0,NA,NA,39,0,0,0,39,NA,Melbourne,Inner,2011,1497,117-121 bouverie,1398,32,0.040709395,keep,99.91306492,Same site minor address change
R00418,Completed,2006,17.98,Commonwealth Games Village,NA,944-1000,"Park [Oak, Tullamarine, Gibson]",Street,NA,Parkville,168,NA,NA,0,0,650,0,818,NA,Melbourne,Inner,2008,542,"944-1000 park [oak, tullamarine, gibson]",443,34,0.144649874,keep,0.804327885,
R08594,Completed,2010,0.14,NA,NA,29-41,Parkville,Avenue,NA,Parkville,0,NA,NA,15,0,0,0,15,NA,Melbourne,Inner,2011,1530,29-41 parkville,1431,34,0.144649874,keep,100,Separate development on large Cth Games site (Google Earth  checked for Cth Games generally) - R00418 kept in multiple groups
R0796,Completed,2004,4.39,Gas & Fuel site,None,36-58,Macaulay,Road,NA,NORTH MELBOURNE,0,NA,NA,0,0,0,260,260,NA,Melbourne,Inner,2004,65,36-58 macaulay,15,35,0.311279367,keep,7.078225792,
R06690,Completed,2011,0.31,Apartments,NA,60-96,Macaulay,STREET,NA,North Melbourne,0,NA,NA,0,0,0,75,75,NA,Melbourne,Inner,2012,1604,60-96 macaulay,1505,35,0.311279367,keep,99.45114944,Google Earth checked; separate development on same large site
R03618,Completed,2004,0.34,NA,None,1088-1096,Whitehorse,Road,NA,BOX HILL,0,NA,NA,40,0,0,0,40,NA,Whitehorse,East,2004,186,1088-1096 whitehorse,87,36,0.335327622,discard,99.86540621,
R07159,Completed,2011,0.34,Whitehorse Road Apartments,NA,1088-1090,Whitehorse,ROAD,NA,Box Hill,0,NA,NA,0,0,39,0,39,NA,Whitehorse,East,2012,1616,1088-1090 whitehorse,1517,36,0.335327622,keep,99.86540578,Google Earth checked; same site; not completed until well after 2004
R00418,Completed,2006,17.98,Commonwealth Games Village,NA,944-1000,"Park [Oak, Tullamarine, Gibson]",Street,NA,Parkville,168,NA,NA,0,0,650,0,818,NA,Melbourne,Inner,2008,542,"944-1000 park [oak, tullamarine, gibson]",443,37,0.889792823,keep,4.947706878,
R08592,Completed,2011,0.9,NA,NA,52-62,Cade,WAY,NA,Parkville,0,NA,NA,0,0,0,996,996,NA,Melbourne,Inner,2012,1695,52-62 cade,1596,37,0.889792823,keep,99.29797356,Google Earth checked; separate development on large Cth Games site
R06332,Completed,2009,0.21,Marshall Street Dwellings,NA,100-102,Marshall,Street,NA,Ivanhoe,0,NA,NA,0,16,0,0,16,NA,Banyule,North,2010,886,100-102 marshall,787,39,0.028234106,discard,13.48361614,
R11148,Completed,2012,0.03,NA,NA,100-102,Marshall,St,NA,Ivanhoe,0,NA,NA,0,16,0,0,16,NA,Banyule,North,2013,1854,100-102 marshall,1755,39,0.028234106,keep,99.75344271,"Imagery checked; smaller site is portion of larger one, not big enough for specified number of dwellings"
R00229,Completed,2005,0.26,Para Road Units,None,265-269,Para,Road,NA,Greensborough,0,NA,NA,0,0,36,0,36,NA,Banyule,North,2007,457,265-269 para,358,40,0.246387287,keep,94.16068451,
R11169,Completed,2012,0.25,NA,NA,265,Para,Rd,NA,Greensborough,0,NA,NA,36,0,0,0,36,NA,Banyule,North,2013,1856,265 para,1757,40,0.246387287,discard,99.96550776,Same site minor address change; Google Earth checked; looks complete by 2005
R01023,Completed,2007,0.63,Waterford Green - Stage 8,None,48,Wests,Road,NA,Maribyrnong,0,NA,NA,0,0,67,0,67,NA,Maribyrnong,West,2007,492,48 wests,393,47,0.630763314,keep,99.99379742,
R11279,Completed,2012,0.95,Waterford Green Ne,NA,22129,Wests,Rd,NA,Maribyrnong,0,NA,NA,0,0,0,67,67,NA,Maribyrnong,West,2013,1870,8-60 wests,1771,47,0.630763314,discard,66.6100647,Google Earth checked; buildings 8-60 (inculding 48) all built by 2007
R05765,Completed,2008,0.18,Churchill Avenue Apartments,NA,15-19,Churchill,Avenue,NA,Maidstone,0,NA,NA,20,0,0,0,20,NA,Maribyrnong,West,2010,877,15-19 churchill,778,48,0.183498526,keep,99.94122565,
R11282,Completed,2012,0.18,Yarra Community Housing,NA,28,Rooney,St,NA,Maidstone,0,NA,NA,0,0,20,0,20,NA,Maribyrnong,West,2013,1873,28 rooney,1774,48,0.183498526,discard,99.82054772,Same site address change; Google Earth checked; looks complete by 2008
R05484,Completed,2008,0.78,Berry Street Multi Use,NA,43770,Berry,Street,NA,Yarraville,0,NA,NA,0,0,48,0,48,NA,Maribyrnong,West,2010,823,11-19 berry,724,51,0.70525238,keep,90.39938334,
R11285,Completed,2012,1.21,Berry Street Vu Site,NA,43770,Berry,St,NA,Yarraville,0,NA,NA,0,0,46,0,46,NA,Maribyrnong,West,2013,1876,11-19 berry,1777,51,0.70525238,discard,58.37556463,"Imagery checked, single project; looks complete by 2008"
R00693,Completed,2008,0.18,Uni City Apartments,NA,198-200,Ballarat,Road,NA,Footscray,0,NA,NA,0,0,0,117,117,NA,Maribyrnong,West,2010,651,198-200 ballarat,552,53,0.116197323,keep,64.48957252,
R11287,Completed,2012,0.12,Unicity Apartments,NA,200,Ballarat,Rd,NA,Footscray,0,NA,NA,0,0,0,117,117,NA,Maribyrnong,West,2013,1878,200 ballarat,1779,53,0.116197323,discard,99.42005579,Same site minor address change; Google Earth checked; looks complete by 2008
R03409,Completed,2011,1.23,Buncle Street Apartments,NA,52-76,Buncle,STREET,NA,North Melbourne,0,NA,NA,20,0,0,234,254,NA,Moonee Valley,West,2011,1167,52-76 buncle,1068,55,0.59488486,discard,48.31073143,
R11381,Completed,2012,0.6,Buncle Street Development,NA,32A,Mark,St,NA,North Melbourne,0,NA,NA,0,0,77,0,77,NA,Melbourne,Inner,2013,1936,32A mark,1837,55,0.59488486,keep,99.93536117,Google Earth checked; same site; looks more like smaller no of dwellings
R00418,Completed,2006,17.98,Commonwealth Games Village,NA,944-1000,"Park [Oak, Tullamarine, Gibson]",Street,NA,Parkville,168,NA,NA,0,0,650,0,818,NA,Melbourne,Inner,2008,542,"944-1000 park [oak, tullamarine, gibson]",443,56,0.143815615,keep,0.799688972,
R11445,Completed,2012,0.27,Ville Apartments (phase 1),NA,78-84,Cade,Wy,NA,Parkville,0,NA,NA,0,0,49,0,49,NA,Melbourne,Inner,2013,1948,78-84 cade,1849,56,0.143815615,keep,53.99712004,Separate development on large Cth Games site (Google Earth  checked for Cth Games generally) - R00418 kept in multiple groups
R10326,Completed,2011,0.11,NA,NA,367-369,BURWOOD,ROAD,NA,Hawthorn,0,NA,NA,0,0,0,194,194,NA,Boroondara,East,2012,1720,367-369 burwood,1621,57,0.105785799,discard,100,
R10315,Completed,2013,0.11,Vivida Student Apartments,NA,45140,Beavis,Street,NA,Hawthorn,0,NA,NA,0,0,0,194,194,NA,Boroondara,East,2014,2020,2-8 beavis,1921,57,0.105785799,keep,100,Same site address change
R03361,Completed,2004,12.36,Edgewater Estate,Stage 1,NA,Gordon,Street,NA,Maribyrnong,0,NA,NA,150,0,0,0,150,NA,Maribyrnong,West,2005,304,NA gordon,205,58,9.271794679,keep,75.00034717,
R08918,Completed,2013,11.39,Edgewater Estate B1,NA,NA,Edgewater,Boulevard,NA,Maribyrnong,0,NA,NA,0,0,177,0,177,NA,Maribyrnong,Inner,2014,2068,NA edgewater,1969,58,9.271794679,keep,81.34996162,"Google Earth checked, later development same site (though possibly some double-counting) - note same as group 138"
R03613,Completed,2007,2.18,Edgewater Estate,None,NA,Gordon,Street,NA,Maribyrnong,22,NA,NA,0,18,0,0,40,NA,Maribyrnong,West,2007,520,NA gordon,421,59,1.586802809,keep,72.84894087,
R10991,Completed,2013,1.59,Edgewater Estate E,NA,NA,Sunset,Pl,NA,Maribyrnong,40,NA,NA,0,0,0,0,40,NA,Maribyrnong,Inner,2014,2070,NA sunset,1971,59,1.586802809,discard,99.98951214,"Google earth checked; same site, 2007 is correct"
R00418,Completed,2006,17.98,Commonwealth Games Village,NA,944-1000,"Park [Oak, Tullamarine, Gibson]",Street,NA,Parkville,168,NA,NA,0,0,650,0,818,NA,Melbourne,Inner,2008,542,"944-1000 park [oak, tullamarine, gibson]",443,60,0.260205373,keep,1.446876038,
R12667,Completed,2013,0.44,Ville Apartments - Stage 3,NA,92-114,Cade,WY,NA,Parkville,0,NA,NA,0,0,0,58,58,NA,Melbourne,Inner,2014,2131,92-114 cade,2032,60,0.260205373,keep,58.91029499,Separate development on large Cth Games site (Google Earth  checked for Cth Games generally) - R00418 kept in multiple groups
R03154,Completed,2007,1.95,Woodlands Park Retirement Village,NA,72,Kangan,Drive,NA,Berwick,0,NA,NA,0,50,0,0,50,NA,Casey,South,2010,682,72 kangan,583,62,1.944264577,keep,99.88528727,
R07207,Completed,2013,10.78,Woodlands Park Retirement Village,NA,72,Kangan,Drive,NA,Berwick,0,NA,NA,0,150,0,0,150,NA,Casey,South,2014,2192,72 kangan,2093,62,1.944264577,keep,18.03139292,"Google Earth checked; later site has been drawn to overlap earlier site, but is later development; R07202 is kept in both groups 62 and 63"
R07206,Completed,2009,2.97,Woodlands Park Retirement Village,NA,72,Kangan,Drive,NA,Berwick,100,NA,NA,0,0,0,0,100,NA,Casey,South,2011,1417,72 kangan,1318,63,2.90816036,keep,97.99624703,
R07207,Completed,2013,10.78,Woodlands Park Retirement Village,NA,72,Kangan,Drive,NA,Berwick,0,NA,NA,0,150,0,0,150,NA,Casey,South,2014,2192,72 kangan,2093,63,2.90816036,keep,26.97070283,"Google Earth checked; later site has been drawn to overlap earlier site, but is later development; R07202 is kept in both groups 62 and 63"
R00540,Completed,2013,3.34,Nylex Site,NA,25,Nepean,Street,NA,Mentone,0,NA,NA,0,0,119,0,119,NA,Kingston,South,2014,2223,25 nepean,2124,64,3.292804337,discard,98.49564599,
R10961,Completed,2013,3.3,Aquilo Residential Townhouses Remaining Stage 1,NA,34-94,Oak,Avenue,NA,Mentone,0,NA,NA,0,0,119,0,119,NA,Kingston,South,2014,2224,34-94 oak,2125,64,3.292804337,keep,99.87347755,Same site address change
R08138,Completed,2012,0.14,Railway Road Dwellings,NA,17,Railway,Road,NA,Blackburn,0,NA,NA,0,0,13,0,13,NA,Whitehorse,East,2013,1757,17 railway,1658,65,0.13207808,discard,96.55714714,
R11061,Completed,2013,0.14,Railway Parade Apartment Building,NA,15,Railway,Road,NA,Blackburn,0,NA,NA,0,0,13,0,13,NA,Whitehorse,East,2014,2242,15 railway,2143,65,0.13207808,keep,95.90694943,Same site adress change
R00685,Completed,2012,5.75,Jmc Site,NA,17-25,Hampstead,Road,NA,Maidstone,0,NA,NA,317,0,0,0,317,NA,Maribyrnong,West,2013,2011,17-25 hampstead,1912,66,1.900557477,keep,33.04933964,
R10429,Completed,2014,1.9,Jmc Site Precinct 2,NA,17-25,Hampstead,RD,NA,Maidstone,0,NA,NA,0,0,131,0,131,NA,Maribyrnong,Inner,2015,2321,17-25 hampstead,2222,66,1.900557477,keep,99.9956911,Google Earth checked; Project name makes clear separate development on same site
R03550,Completed,2004,0.17,NA,None,233-239,Collins,Street,NA,MELBOURNE,0,NA,NA,155,0,0,0,155,NA,Melbourne,Inner,2004,174,233-239 collins,79,67,0.166831259,keep,99.47967088,
R11361,Completed,2014,0.17,NA,NA,233-239,Collins,ST,NA,Melbourne,0,NA,NA,0,0,0,36,36,NA,Melbourne,Inner,2015,2359,233-239 collins,2260,67,0.166831259,keep,99.42868446,"Google Earth checked; building looks largely unchanged; 10 year gap, so likely to be additional development in same building"
R03298,Completed,2006,0.18,Boundary Road,None,185-187,Boundary,Road,NA,North Melbourne,0,NA,NA,0,0,0,52,52,NA,Moonee Valley,West,2006,400,185-187 boundary,301,68,0.158218918,discard,89.48437432,
R10431,Completed,2014,0.16,Serra Apartments,NA,183-187,Boundary,RD,NA,North Melbourne,0,NA,NA,0,0,54,0,54,NA,Melbourne,Inner,2015,2379,183-187 boundary,2280,68,0.158218918,keep,100,"Google Earth checked; under construction in 2007; built in 2010 (so 2006 is wrong, though 2014 is a bit late)"
R00418,Completed,2006,17.98,Commonwealth Games Village,NA,944-1000,"Park [Oak, Tullamarine, Gibson]",Street,NA,Parkville,168,NA,NA,0,0,650,0,818,NA,Melbourne,Inner,2008,542,"944-1000 park [oak, tullamarine, gibson]",443,69,0.183288166,keep,1.01917671,
R11384,Completed,2014,0.32,Ville Apartments (phase 2),NA,86-90,Cade,WAY,NA,Parkville,0,NA,NA,0,0,51,0,51,NA,Melbourne,Inner,2015,2381,86-90 cade,2282,69,0.183288166,keep,56.40349755,Separate development on large Cth Games site (Google Earth  checked for Cth Games generally) - R00418 kept in multiple groups
R07984,Completed,2010,1.4,NA,NA,5,Centre,Road,NA,Brighton East,0,NA,NA,0,0,24,0,24,NA,Bayside,South,2011,1500,5 centre,1401,70,1.399608009,discard,100,
R11516,Completed,2014,1.63,Mayflower Retirement Community,NA,7,Centre,ROAD,NA,Brighton East,0,NA,NA,0,0,35,0,35,NA,Bayside,South,2015,2426,7 centre,2327,70,1.399608009,keep,85.56403947,"Google Earth checked; smaller site is portion of same larger site; still under construction 2012 (so not 2010), though looks well finished by 2014"
R01083,Completed,2008,5.83,Rusden Place Apartments,NA,662-678,Blackburn,Road,NA,Notting Hill,0,NA,NA,0,0,320,0,320,NA,Monash,East,2010,667,662-678 blackburn,568,71,0.546100507,keep,9.363313806,
R13263,Completed,2014,0.55,Normanby Road Townhouses,NA,215,Normanby,Road,NA,Notting Hill,0,NA,NA,0,0,66,0,66,NA,Monash,East,2015,2473,215 normanby,2374,71,0.546100507,keep,100,Google Earth checked; separate development on small part of larger site (though probably completed before 2014)
R07261,Completed,2009,0.47,NA,NA,738-740,Station,Street,NA,Box Hill,0,NA,NA,0,0,73,0,73,NA,Whitehorse,East,2011,1433,738-740 station,1334,72,0.10320192,discard,21.8053267,
R10657,Completed,2015,0.1,Station Street Apartment Building,NA,746/748,Station,Street,NA,Box Hill,0,NA,NA,0,0,0,25,25,NA,Whitehorse,East,2016,2528,746/748 station,2429,72,0.10320192,keep,100,Google Earth checked; not built in 2009
R05606,Completed,2011,11.53,Janefield,NA,NA,Plenty,ROAD,NA,Bundoora,0,NA,NA,0,0,449,0,449,NA,Whittlesea,North,2012,1585,NA plenty,1486,73,9.66838274,discard,83.84233934,
R05607,Completed,2016,37.94,Janefield,NA,NA,Plenty,Road,NA,Bundoora,399,NA,NA,0,0,0,0,399,NA,Whittlesea,North,2016,2593,NA plenty,2494,73,9.66838274,keep,25.47115991,Google Earth checked; built after 2011
R10170,Completed,2013,0.55,Olive York Way Dwellings,NA,45268,Olive York,Way,NA,Brunswick West,0,NA,NA,0,150,0,0,150,NA,Moreland,North,2014,2170,8-12 olive york,2071,74,0.549860977,keep,100,
R10171,Completed,2015,0.55,Olive York Way Mixed Use Development,NA,45079,Olive York,Way,NA,Brunswick West,0,NA,NA,0,0,0,147,147,NA,Moreland,North,2016,2616,2-6 olive york,2517,74,0.549860977,discard,100,Same site address change; Google Earth checked; looks complete by 2013
R03490,Completed,2004,0.47,Red Cross Site,None,45658,Balston,Street,NA,Southbank,0,NA,NA,0,0,0,277,277,NA,Melbourne,Inner,2005,310,1-25 balston,211,76,0.228607575,discard,49.04450713,
R08618,Completed,2015,0.23,Epic (south Tower),NA,110-120,Kavanagh,Street,NA,Southbank,0,NA,NA,0,0,0,382,382,NA,Melbourne,Inner,2016,2698,110-120 kavanagh,2599,76,0.228607575,keep,99.60215529,Google Earth checked; not built until around 2015.  Note R03490 (dropped) is in both Groups 76 and 110
R0732,Completed,2004,1.55,Sovereign Point,None,31 - 47,Williamsons,Road,NA,DONCASTER,0,NA,NA,0,0,112,0,112,NA,Manningham,East,2004,25,31 - 47 williamsons,7,77,0.295787656,keep,19.07787377,
R07050,Completed,2009,0.87,Sovereign Point Apartments E & F,NA,31-47,Williamsons,Road,NA,Doncaster,0,NA,NA,0,0,16,0,16,NA,Manningham,East,2011,1400,31-47 williamsons,1301,77,0.295787656,keep,34.1329087,
R11219,Completed,2016,0.29628515,Imperial Doncaster,NA,5,Sovereign Point,Road,NA,Doncaster,0,0,69,0,NA,NA,NA,69,10,Manningham,Eastern Region,2017,2714,5 sovereign point,2615,77,0.295787656,keep,99.83209064,Imagery checked; all separate sites
R07261,Completed,2009,0.47,NA,NA,738-740,Station,Street,NA,Box Hill,0,NA,NA,0,0,73,0,73,NA,Whitehorse,East,2011,1433,738-740 station,1334,78,0.146537313,discard,30.96157515,
R12509,Completed,2016,0.14653732,Station Street Apartments,NA,740,Station,Road,NA,Box Hill,0,0,47,0,NA,NA,NA,47,4,Whitehorse,Eastern Region,2017,2743,740 station,2644,78,0.146537313,keep,100,Google Earth checked; not built in 2009
R00644,Completed,2008,3.97,NA,NA,502-514,Burwood,Highway,NA,Vermont South,0,NA,NA,0,200,0,0,200,NA,Whitehorse,East,2010,646,502-514 burwood,547,79,3.65671618,keep,92.13340476,
R10962,Completed,2016,3.65868473,Victoria Grange Retirement Village,NA,502-514,Burwood,Highway,NA,Vermont South,0,72,0,0,NA,NA,NA,72,2,Whitehorse,Eastern Region,2017,2749,502-514 burwood,2650,79,3.65671618,keep,99.94619404,Google Earth checked; further development on same site
R00741,Completed,2007,7.42,Mingarra Retirement Village,NA,77-115,Mount Dandenong,Road,NA,Croydon,60,NA,NA,0,0,0,0,60,NA,Maroondah,East,2010,655,77-115 mount dandenong,556,82,1.994477711,keep,26.88334309,
R15360,Completed,2016,1.99502683, ,NA,77-117,Mt Dandenong,Road, ,Croydon,0,36,0,0,NA,NA,NA,36,1,Maroondah,Eastern Region,2017,2806,77-117 mt dandenong,2707,82,1.994477711,keep,99.97247417,Google Earth checked; further development on same site (probably)
R01118,Completed,2010,6.7,Sunshine Golf Course Redevelopment,NA,130,Fitzgerald,Road,NA,Sunshine West,115,NA,NA,0,0,0,0,115,NA,Brimbank,West,2011,1142,130 fitzgerald,1043,83,6.670428847,keep,99.58536414,
R07084,Completed,2016,37.34634781,5379 Callaway Park,NA,130,Fitzgerald,Road,NA,Sunshine West,300,400,0,0,NA,NA,NA,700,2,Brimbank,Western Region,2017,2841,130 fitzgerald,2742,83,6.670428847,keep,17.86099364,Google Earth checked; smaller part of overall site was built first in 2011
R07667,Completed,2011,0.13,Point Nepean Road Residential Development,NA,1587,Point Nepean,ROAD,NA,Rosebud West,0,NA,NA,0,0,28,0,28,NA,Mornington Peninsula,South,2012,1734,1587 point nepean,1635,84,0.128433127,discard,99.97282656,
R15484,Completed,2016,0.2698743, ,NA,1587,Point Nepean,Road, ,Rosebud West,0,0,27,0,NA,NA,NA,27,NA,Mornington Peninsula,Southern Region,2017,2853,1587 point nepean,2754,84,0.128433127,keep,47.58997793,Google Earth checked; single site (earier record shows only part; completed around 2015
R00357,Completed,2004,5.17,NA,None,NA,Sandown,Road,NA,Springvale,0,NA,NA,0,0,60,0,60,NA,Greater Dandenong,South,2006,389,NA sandown,290,85,0.180776161,keep,3.495182996,
R10944,Completed,2016,0.180847,Eighth Boulevard Townhouses,NA,35-39,Eighth,Boulevard,NA,Springvale,0,18,0,0,NA,NA,NA,18,4,Greater Dandenong,Southern Region,2017,2881,35-39 eighth,2782,85,0.180776161,keep,99.96082842,Google Earth checked; separate later development on main site
